Dataset,Model,class_ent,eq_num_attr,gravity,inst_to_attr,nr_attr,nr_bin,nr_class,nr_cor_attr,nr_inst,nr_norm,nr_outliers,ns_ratio,Processing Units Number,Model Capability,Solution Stochasticity,Loss Margin Behaviour,Input Distribution Modelling,Fitting Regime,MCC
BoTNeTIoT-L01,AdaBoost,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,300,9,3,3,1,2,0.9990831727161924
BoTNeTIoT-L01,Bagging,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,706260550,8,3,1,1,2,0.9997862592482516
BoTNeTIoT-L01,BernoulliNB,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,48,1,1,2,3,1,0.5725211826699843
BoTNeTIoT-L01,DNN,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,48,6,2,2,1,3,0.2248455282221997
BoTNeTIoT-L01,DT,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,2097151,5,1,1,1,2,0.9997448900290886
BoTNeTIoT-L01,ExtraTree,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,2097151,5,5,1,1,2,0.9996345546830844
BoTNeTIoT-L01,FT-Transformer,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,384,7,2,2,1,3,0.9977835031679192
BoTNeTIoT-L01,GaussianNB,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,94,1,1,2,3,1,0.0
BoTNeTIoT-L01,KNN,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,69,4,1,1,2,1,0.9807207733002266
BoTNeTIoT-L01,LDA,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,322,2,1,1,4,1,0.0
BoTNeTIoT-L01,LR,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,48,3,1,2,1,2,0.125757193133484
BoTNeTIoT-L01,LightGBM_ExtraTrees,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,75900,9,5,2,1,2,0.9943633692053454
BoTNeTIoT-L01,LightGBM_RF,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,75900,9,4,2,1,2,0.9985411751090694
BoTNeTIoT-L01,LinearSVC,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,48,3,1,4,1,2,0.0
BoTNeTIoT-L01,MLP,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,50,6,2,2,1,3,0.2236981258256623
BoTNeTIoT-L01,PassiveAggressive,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,48,3,2,4,1,4,0.9850749883205138
BoTNeTIoT-L01,Perceptron,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,48,3,2,5,1,4,0.302474345525963
BoTNeTIoT-L01,QDA,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,598,2,1,1,5,1,0.0380947375355355
BoTNeTIoT-L01,Ridge,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,48,3,1,1,1,1,0.9619217306930312
BoTNeTIoT-L01,SGD,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,48,3,2,4,1,3,0.3242885856621718
BoTNeTIoT-L01,TabICL,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,27552258,10,2,2,1,5,0.9982502631704808
BoTNeTIoT-L01,TabNet,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,96,7,2,2,1,3,0.997845241719845
