Dataset,Model,class_ent,eq_num_attr,gravity,inst_to_attr,nr_attr,nr_bin,nr_class,nr_cor_attr,nr_inst,nr_norm,nr_outliers,ns_ratio,Processing Units Number,Training Operations,Prediction Operations,Active Regularization Mechanisms,Robust to Outliers,MCC
IoTID20,Perceptron,0.3432644495341364,7.832829573088412,4639124.206861703,6657.265957446809,94,25,2,0.0597117364447494,625783,14.0,68,43.72031911100076,5.247024072160486,17.890053726889434,4.543294782270004,1,1,0.457773064370914
IoTID20,QDA,0.3432644495341364,7.832829573088412,4639124.206861703,6657.265957446809,94,25,2,0.0597117364447494,625783,14.0,68,43.72031911100076,9.118005760773388,22.433348509159437,9.086589564540008,1,0,0.5919084386768224
IoTID20,Ridge,0.3432644495341364,7.832829573088412,4639124.206861703,6657.265957446809,94,25,2,0.0597117364447494,625783,14.0,68,43.72031911100076,5.247024072160486,22.433348509159437,4.543294782270004,1,0,0.6308938961344944
IoTID20,SGD,0.3432644495341364,7.832829573088412,4639124.206861703,6657.265957446809,94,25,2,0.0597117364447494,625783,14.0,68,43.72031911100076,5.247024072160486,17.890053726889434,4.543294782270004,1,1,0.5687425125199748
IoTID20,TabICL,0.3432644495341364,7.832829573088412,4639124.206861703,6657.265957446809,94,25,2,0.0597117364447494,625783,14.0,68,43.72031911100076,17.131595050277248,17.890053726889434,17.890053726889434,0,1,0.9880142257267732
IoTID20,TabNet,0.3432644495341364,7.832829573088412,4639124.206861703,6657.265957446809,94,25,2,0.0597117364447494,625783,14.0,68,43.72031911100076,4.564348191467836,17.911107136087267,4.564348191467836,1,1,0.975566657883005
IoTID20,TabPFN,0.3432644495341364,7.832829573088412,4639124.206861703,6657.265957446809,94,25,2,0.0597117364447494,625783,14.0,68,43.72031911100076,17.788687814342346,17.890053726889434,17.890053726889434,0,1,0.9856618925623506
IoTID20,TabTransformer,0.3432644495341364,7.832829573088412,4639124.206861703,6657.265957446809,94,25,2,0.0597117364447494,625783,14.0,68,43.72031911100076,7.028201432058005,20.374960376677436,7.028201432058005,1,0,0.8179213142743182
IoTID20,XGBoost,0.3432644495341364,7.832829573088412,4639124.206861703,6657.265957446809,94,25,2,0.0597117364447494,625783,14.0,68,43.72031911100076,10.547969561114792,26.551622821544026,7.495541943884256,0,1,0.9936682915222672
IoTNet24,AdaBoost,0.4129568272568125,3.684173889242945,54744.44297766372,680.7352941176471,34,24,2,0.1122994652406417,23145,3.0,29,4.439087608729601,5.703782474656201,18.181064764069625,4.605170185988092,0,0,0.999716536353734
IoTNet24,Bagging,0.4129568272568125,3.684173889242945,54744.44297766372,680.7352941176471,34,24,2,0.1122994652406417,23145,3.0,29,4.439087608729601,14.654682636282116,20.161961073871723,6.586066495790189,0,2,0.999716536353734
IoTNet24,BernoulliNB,0.4129568272568125,3.684173889242945,54744.44297766372,680.7352941176471,34,24,2,0.1122994652406417,23145,3.0,29,4.439087608729601,4.248495242049359,13.575894578081533,3.5263605246161616,1,0,0.9713611965348268
IoTNet24,DNN,0.4129568272568125,3.684173889242945,54744.44297766372,680.7352941176471,34,24,2,0.1122994652406417,23145,3.0,29,4.439087608729601,4.02535169073515,14.07488574420052,4.02535169073515,1,0,0.8545370142323903
IoTNet24,DT,0.4129568272568125,3.684173889242945,54744.44297766372,680.7352941176471,34,24,2,0.1122994652406417,23145,3.0,29,4.439087608729601,10.74265963085397,16.249938068443576,2.674043490362043,0,2,0.999716536353734
IoTNet24,ExtraTree,0.4129568272568125,3.684173889242945,54744.44297766372,680.7352941176471,34,24,2,0.1122994652406417,23145,3.0,29,4.439087608729601,10.74265963085397,16.249938068443576,2.674043490362043,0,2,0.999716536353734
IoTNet24,FT-Transformer,0.4129568272568125,3.684173889242945,54744.44297766372,680.7352941176471,34,24,2,0.1122994652406417,23145,3.0,29,4.439087608729601,4.852030263919617,14.901564317384988,4.852030263919617,2,0,0.9791173361061054
IoTNet24,GaussianNB,0.4129568272568125,3.684173889242945,54744.44297766372,680.7352941176471,34,24,2,0.1122994652406417,23145,3.0,29,4.439087608729601,4.927253685157205,13.575894578081533,3.5263605246161616,0,0,0.9281635905154422
IoTNet24,KNN,0.4129568272568125,3.684173889242945,54744.44297766372,680.7352941176471,34,24,2,0.1122994652406417,23145,3.0,29,4.439087608729601,5.135798437050262,13.575894578081533,13.575894578081533,0,0,0.9791609926287366
IoTNet24,LDA,0.4129568272568125,3.684173889242945,54744.44297766372,680.7352941176471,34,24,2,0.1122994652406417,23145,3.0,29,4.439087608729601,6.4967749901858625,17.102255102697693,3.5263605246161616,0,0,0.9716525988050942
IoTNet24,LR,0.4129568272568125,3.684173889242945,54744.44297766372,680.7352941176471,34,24,2,0.1122994652406417,23145,3.0,29,4.439087608729601,4.248495242049359,13.575894578081533,3.5263605246161616,1,0,0.9103323530924416
IoTNet24,LightGBM_ExtraTrees,0.4129568272568125,3.684173889242945,54744.44297766372,680.7352941176471,34,24,2,0.1122994652406417,23145,3.0,29,4.439087608729601,10.138559674715612,20.855108254431666,6.907755278982137,0,2,0.9857507507085708
IoTNet24,LightGBM_RF,0.4129568272568125,3.684173889242945,54744.44297766372,680.7352941176471,34,24,2,0.1122994652406417,23145,3.0,29,4.439087608729601,9.433483923290392,20.855108254431666,6.907755278982137,0,2,0.9994332869432064
IoTNet24,LinearSVC,0.4129568272568125,3.684173889242945,54744.44297766372,680.7352941176471,34,24,2,0.1122994652406417,23145,3.0,29,4.439087608729601,4.248495242049359,13.575894578081533,3.5263605246161616,1,0,0.944640825114151
IoTNet24,MLP,0.4129568272568125,3.684173889242945,54744.44297766372,680.7352941176471,34,24,2,0.1122994652406417,23145,3.0,29,4.439087608729601,3.912023005428146,13.961557058893517,3.912023005428146,1,0,0.8541831742964469
IoTNet24,PassiveAggressive,0.4129568272568125,3.684173889242945,54744.44297766372,680.7352941176471,34,24,2,0.1122994652406417,23145,3.0,29,4.439087608729601,4.248495242049359,13.575894578081533,3.5263605246161616,1,1,0.8881503352828299
IoTNet24,Perceptron,0.4129568272568125,3.684173889242945,54744.44297766372,680.7352941176471,34,24,2,0.1122994652406417,23145,3.0,29,4.439087608729601,4.248495242049359,13.575894578081533,3.5263605246161616,1,1,0.5641685401480229
IoTNet24,QDA,0.4129568272568125,3.684173889242945,54744.44297766372,680.7352941176471,34,24,2,0.1122994652406417,23145,3.0,29,4.439087608729601,7.1372784372603855,17.102255102697693,7.052721049232323,1,0,0.9506201130822226
IoTNet24,Ridge,0.4129568272568125,3.684173889242945,54744.44297766372,680.7352941176471,34,24,2,0.1122994652406417,23145,3.0,29,4.439087608729601,4.248495242049359,17.102255102697693,3.5263605246161616,1,0,0.9716525988050942
IoTNet24,SGD,0.4129568272568125,3.684173889242945,54744.44297766372,680.7352941176471,34,24,2,0.1122994652406417,23145,3.0,29,4.439087608729601,4.248495242049359,13.575894578081533,3.5263605246161616,1,1,0.784209525663176
